"ID","Name","LongName","CC","CCL","CCO","CEE","CEG","CI","CLC","CLLC","CR","LDC","LLDC","NCR","TAD","TCLOC","TLLOC","TLOC","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","TPDA","TPUA","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Best Practice Rules","Code Style Rules","Design Rules","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Security Rules"
"L103","C:\Users\arnab\AndroidStudioProjects\IITNSTU\.columbus_java\IITNSTU.ljsi","C:\Users\arnab\AndroidStudioProjects\IITNSTU\.columbus_java\IITNSTU.ljsi","0","0","0","0","","0","0","0","0","0","0","","0.253937","18951","17003","36941","406","108","0","90","29","0","502","500","401","0","0","75","116","32","129","379","0","21","409","41","10957","2","34","10896","35","2","51","0","1","0"
"L102","<System>","<System>","0","0","0","0","","0","0","0","0","0","0","","0.253937","18951","17003","36941","406","108","0","90","29","0","502","500","401","0","0","75","116","32","129","379","0","21","409","41","10957","2","34","10896","35","2","51","0","1","0"
