"ID","Name","LongName","Parent","Component","AD","CC","CCL","CCO","CI","CLC","CLLC","CLOC","LDC","LLDC","LLOC","LOC","NCL","NEN","NG","NIN","NM","NPKG","NPM","NS","PDA","PUA","TAD","TCLOC","TLLOC","TLOC","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","TPDA","TPUA","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Best Practice Rules","Code Style Rules","Design Rules","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Security Rules"
"L10103","circularimageview","com.mikhaellopez.circularimageview","L10102","L103","0","0","0","0","0","0","0","6","0","0","1561","1582","13","0","0","0","13","0","0","0","0","13","0","6","1561","1582","13","14","0","1","0","0","13","0","13","0","0","0","0","0","0","13","0","0","14","0","1526","0","0","1526","0","0","0","0","0","0"
"L11655","pdfium","com.shockwave.pdfium","L11654","L103","0","0","0","0","0","0","0","6","0","0","8","18","2","0","0","0","2","0","0","0","0","2","0","6","8","18","2","14","0","1","0","0","2","0","2","0","0","0","0","0","0","2","0","0","2","0","2","0","0","2","0","0","0","0","0","0"
"L11665","picasso","com.squareup.picasso","L11664","L103","0","0","0","0","0","0","0","6","0","0","4","13","1","0","0","0","1","0","0","0","0","1","0","6","4","13","1","14","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","1","0","2","0","0","1","0","0","1","0","0","0"
"L11672","iitnstu","com.whatEver.iitnstu","L11671","L103","0.59375","0","0","0","0","0","0","18199","0","0","4626","23142","45","0","0","0","71","3","33","1","38","26","0.796296","18633","5242","24410","60","39","0","37","29","0","156","500","55","0","0","3","116","32","129","33","0","21","56","41","144","2","34","104","35","2","30","0","1","0"
"L17609","protolitewrapper","firebase.com.protolitewrapper","L17608","L103","0","0","0","0","0","0","0","6","0","0","4","13","1","0","0","0","1","0","0","0","0","1","0","6","4","13","1","14","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","1","0","2","0","0","1","0","0","1","0","0","0"
"L4004","core","androidx.lifecycle.livedata.core","L4001","L103","0","0","0","0","0","0","0","6","0","0","4","13","1","0","0","0","1","0","0","0","0","1","0","6","4","13","1","15","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","1","0","2","0","0","1","0","0","1","0","0","0"
"L5415","pdfviewer","com.github.barteksc.pdfviewer","L5414","L103","0","0","0","0","0","0","0","6","0","0","26","38","4","0","0","0","4","0","0","0","0","4","0","6","26","38","4","15","0","1","0","0","4","0","4","0","0","0","0","0","0","4","0","0","4","0","15","0","0","15","0","0","0","0","0","0"
"L5444","gms","com.google.android.gms","L5443","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","24","114","158","12","19","0","4","0","0","12","0","12","0","0","4","0","0","0","12","0","0","12","0","82","0","0","80","0","0","2","0","0","0"
"L5558","material","com.google.android.material","L5443","L103","0","0","0","0","0","0","0","6","0","0","2491","2514","15","0","0","0","15","0","0","0","0","15","0","6","2491","2514","15","15","0","1","0","0","15","0","15","0","0","0","0","0","0","15","0","0","18","0","2450","0","0","2450","0","0","0","0","0","0"
"L8039","auth","com.google.firebase.auth","L8036","L103","0","0","0","0","0","0","0","6","0","0","4","13","1","0","0","0","1","1","0","0","0","1","0","12","8","26","2","16","0","2","0","0","2","0","2","0","0","1","0","0","0","2","0","0","2","0","4","0","0","2","0","0","2","0","0","0"
"L8049","database","com.google.firebase.database","L8036","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","6","4","13","1","16","0","1","0","0","1","0","1","0","0","1","0","0","0","1","0","0","1","0","2","0","0","1","0","0","1","0","0","0"
"L8056","firestore","com.google.firebase.firestore","L8036","L103","0","0","0","0","0","0","0","6","0","0","238","258","12","0","0","0","12","0","0","0","0","12","0","6","238","258","12","15","0","1","0","0","12","0","12","0","0","0","0","0","0","12","0","0","12","0","205","0","0","205","0","0","0","0","0","0"
"L8437","storage","com.google.firebase.storage","L8036","L103","0","0","0","0","0","0","0","6","0","0","238","258","12","0","0","0","12","0","0","0","0","12","0","6","238","258","12","15","0","1","0","0","12","0","12","0","0","0","0","0","0","12","0","0","12","0","205","0","0","205","0","0","0","0","0","0"
"L16476","cards","com.whatEver.iitnstu.cards","L11672","L103","0.777778","0","0","0","0","0","0","116","0","0","304","534","7","0","0","0","20","0","20","7","21","6","0.777778","116","304","534","7","13","0","7","0","0","20","109","7","0","0","0","20","7","21","6","0","6","6","10","8","0","5","8","5","0","6","0","0","0"
"L16947","models","com.whatEver.iitnstu.models","L11672","L103","0.984848","0","0","0","0","0","0","295","0","0","255","633","6","0","29","0","60","0","60","24","65","1","0.984848","295","255","633","6","13","0","6","29","0","60","83","6","0","0","0","60","24","65","1","0","0","4","0","17","0","0","6","11","0","0","0","0","0"
"L17568","tools","com.whatEver.iitnstu.tools","L11672","L103","1","0","0","0","0","0","0","23","0","0","57","101","2","0","0","0","5","0","3","0","5","0","1","23","57","101","2","13","0","2","0","0","5","17","2","0","0","0","3","0","5","0","0","0","0","0","4","0","0","3","1","0","0","0","0","0"
"L5445","base","com.google.android.gms.base","L5444","L103","0","0","0","0","0","0","0","6","0","0","94","109","7","0","0","0","7","0","0","0","0","7","0","6","94","109","7","16","0","1","0","0","7","0","7","0","0","0","0","0","0","7","0","0","7","0","75","0","0","75","0","0","0","0","0","0"
"L5537","common","com.google.android.gms.common","L5444","L103","0","0","0","0","0","0","0","6","0","0","12","23","3","0","0","0","3","0","0","0","0","3","0","6","12","23","3","16","0","1","0","0","3","0","3","0","0","0","0","0","0","3","0","0","3","0","3","0","0","3","0","0","0","0","0","0"
"L5548","flags","com.google.android.gms.flags","L5444","L103","0","0","0","0","0","0","0","6","0","0","4","13","1","0","0","0","1","0","0","0","0","1","0","6","4","13","1","16","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","1","0","2","0","0","1","0","0","1","0","0","0"
"L5553","tasks","com.google.android.gms.tasks","L5444","L103","0","0","0","0","0","0","0","6","0","0","4","13","1","0","0","0","1","0","0","0","0","1","0","6","4","13","1","16","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","1","0","2","0","0","1","0","0","1","0","0","0"
"L8042","internal","com.google.firebase.auth.internal","L8039","L103","0","0","0","0","0","0","0","6","0","0","4","13","1","0","0","0","1","0","0","0","0","1","0","6","4","13","1","16","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","1","0","2","0","0","1","0","0","1","0","0","0"
"L8050","collection","com.google.firebase.database.collection","L8049","L103","0","0","0","0","0","0","0","6","0","0","4","13","1","0","0","0","1","0","0","0","0","1","0","6","4","13","1","16","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","1","0","2","0","0","1","0","0","1","0","0","0"
