ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,AD,CBO,CC,CCL,CCO,CI,CLC,CLLC,CLOC,DIT,DLOC,LCOM5,LDC,LLDC,LLOC,LOC,NG,NLG,NLM,NLPM,NLS,NM,NOA,NOC,NOD,NOI,NOP,NOS,NPM,NS,PDA,PUA,RFC,TCLOC,TLLOC,TLOC,TNG,TNLG,TNLM,TNLPM,TNLS,TNM,TNOS,TNPM,TNS,WMC,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Best Practice Rules,Code Style Rules,Design Rules,Documentation Rules,Error Prone Rules,Multithreading Rules,Performance Rules,Security Rules,Clone Metric Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Inheritance Metric Rules,Size Metric Rules
L16901,SyllabusActivity,com.whatEver.iitnstu.SyllabusActivity,L11672,L103,C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\src\main\java\com\whatEver\iitnstu\SyllabusActivity.java,15,1,120,2,1,2,0,0,0,0,0,0,44,0,44,9,0,0,55,106,0,0,9,8,0,9,0,0,0,0,0,18,8,0,9,0,9,44,55,106,0,0,9,8,0,9,18,8,0,9,0,0,1,3,8,0,0,8,0,0,3,0,0,0,0,1,0,0,0,0,0
L16884,TeachersInfoActivity,com.whatEver.iitnstu.TeachersInfoActivity,L11672,L103,C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\src\main\java\com\whatEver\iitnstu\TeachersInfoActivity.java,24,1,77,2,1,3,0,0,0,0,0,0,7,0,7,1,0,0,34,54,0,0,2,0,0,2,0,0,0,2,0,9,0,0,1,0,4,7,34,54,0,0,2,0,0,2,9,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L17603,ExampleUnitTest,com.whatEver.iitnstu.ExampleUnitTest,L11672,L103,C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\src\test\java\com\whatEver\iitnstu\ExampleUnitTest.java,12,1,17,2,0.5,0,0,0,0,0,0,0,5,0,5,1,0,0,6,6,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,5,6,6,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
L16485,BatchCard,com.whatEver.iitnstu.cards.BatchCard,L16476,L103,C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\src\main\java\com\whatEver\iitnstu\cards\BatchCard.java,20,1,73,2,0.75,4,0,0,0,0,0,0,17,1,17,0,0,0,30,54,0,0,3,3,1,4,1,0,0,4,1,13,4,1,3,1,7,17,30,54,0,0,3,3,1,4,13,4,1,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
L16487,Card,com.whatEver.iitnstu.cards.Card,L16476,L103,C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\src\main\java\com\whatEver\iitnstu\cards\Card.java,13,1,31,2,1,0,0,0,0,0,0,0,14,0,14,0,0,0,8,19,0,0,2,2,1,2,0,6,6,0,0,3,2,1,3,0,2,14,8,19,0,0,2,2,1,2,3,2,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L16539,CourseCoCard,com.whatEver.iitnstu.cards.CourseCoCard,L16476,L103,C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\src\main\java\com\whatEver\iitnstu\cards\CourseCoCard.java,23,1,87,2,0.75,4,0,0,0,0,0,0,17,1,17,0,0,0,43,65,0,0,3,3,1,4,1,0,0,7,1,21,4,1,3,1,10,17,43,65,0,0,3,3,1,4,21,4,1,3,0,1,1,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
L16594,NoticeCard,com.whatEver.iitnstu.cards.NoticeCard,L16476,L103,C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\src\main\java\com\whatEver\iitnstu\cards\NoticeCard.java,16,1,64,2,0.75,4,0,0,0,0,0,0,17,1,17,0,0,0,26,49,0,0,3,3,1,4,1,0,0,4,1,12,4,1,3,1,7,17,26,49,0,0,3,3,1,4,12,4,1,3,0,1,1,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
L16629,OfficialsCard,com.whatEver.iitnstu.cards.OfficialsCard,L16476,L103,C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\src\main\java\com\whatEver\iitnstu\cards\OfficialsCard.java,23,1,89,2,0.75,4,0,0,0,0,0,0,17,1,17,0,0,0,40,67,0,0,3,3,1,4,1,0,0,6,1,19,4,1,3,1,9,17,40,67,0,0,3,3,1,4,19,4,1,3,0,1,1,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
L16679,StudentCard,com.whatEver.iitnstu.cards.StudentCard,L16476,L103,C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\src\main\java\com\whatEver\iitnstu\cards\StudentCard.java,27,1,95,2,0.75,5,0,0,0,0,0,0,17,1,17,0,0,0,43,69,0,0,3,3,1,4,1,0,0,6,1,22,4,1,3,1,9,17,43,69,0,0,3,3,1,4,22,4,1,3,0,1,1,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
L16730,TeacherCard,com.whatEver.iitnstu.cards.TeacherCard,L16476,L103,C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\src\main\java\com\whatEver\iitnstu\cards\TeacherCard.java,24,1,88,2,0.75,4,0,0,0,0,0,0,17,1,17,0,0,0,40,65,0,0,3,3,1,4,1,0,0,6,1,19,4,1,3,1,9,17,40,65,0,0,3,3,1,4,19,4,1,3,0,1,1,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
L16492,Batch,com.whatEver.iitnstu.models.Batch,L16947,L103,C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\src\main\java\com\whatEver\iitnstu\models\Batch.java,8,1,93,2,1,0,0,0,0,0,0,0,45,0,45,0,0,0,36,86,4,4,9,9,4,9,0,0,0,0,0,12,9,4,10,0,9,45,36,86,4,4,9,9,4,9,12,9,4,9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
L16542,CourseCo,com.whatEver.iitnstu.models.CourseCo,L16947,L103,C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\src\main\java\com\whatEver\iitnstu\models\CourseCo.java,8,1,133,2,1,0,0,0,0,0,0,0,63,0,63,0,0,0,52,126,6,6,13,13,6,13,0,0,0,0,0,18,13,6,14,0,13,63,52,126,6,6,13,13,6,13,18,13,6,13,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
L16598,Notice,com.whatEver.iitnstu.models.Notice,L16947,L103,C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\src\main\java\com\whatEver\iitnstu\models\Notice.java,8,1,103,2,0.909091,0,0,0,0,0,0,0,45,0,45,1,0,0,44,96,4,4,10,10,4,10,0,0,0,0,0,13,10,4,10,1,10,45,44,96,4,4,10,10,4,10,13,10,4,10,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
L16633,Official,com.whatEver.iitnstu.models.Official,L16947,L103,C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\src\main\java\com\whatEver\iitnstu\models\Official.java,8,1,112,2,1,0,0,0,0,0,0,0,54,0,54,0,0,0,44,105,5,5,11,11,5,11,0,0,0,0,0,15,11,5,12,0,11,54,44,105,5,5,11,11,5,11,15,11,5,11,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
L16683,Student,com.whatEver.iitnstu.models.Student,L16947,L103,C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\src\main\java\com\whatEver\iitnstu\models\Student.java,8,1,73,2,1,0,0,0,0,0,0,0,34,0,34,0,0,0,29,66,5,5,6,6,0,6,0,0,0,0,0,10,6,0,7,0,6,34,29,66,5,5,6,6,0,6,10,6,0,6,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
L16734,Teacher,com.whatEver.iitnstu.models.Teacher,L16947,L103,C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\src\main\java\com\whatEver\iitnstu\models\Teacher.java,8,1,113,2,1,0,0,0,0,0,0,0,54,0,54,0,0,0,44,106,5,5,11,11,5,11,0,0,0,0,0,15,11,5,12,0,11,54,44,106,5,5,11,11,5,11,15,11,5,11,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
L16415,LoadingDialog,com.whatEver.iitnstu.tools.LoadingDialog,L17568,L103,C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\src\main\java\com\whatEver\iitnstu\tools\LoadingDialog.java,13,1,46,2,1,1,0,0,0,0,0,0,15,0,15,1,0,0,18,34,0,0,3,3,0,3,0,0,0,0,0,8,3,0,4,0,3,15,18,34,0,0,3,3,0,3,8,3,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
L17218,PdfViewer,com.whatEver.iitnstu.tools.PdfViewer,L17568,L103,C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\src\main\java\com\whatEver\iitnstu\tools\PdfViewer.java,18,1,53,2,1,3,0,0,0,0,0,0,8,0,8,1,0,0,27,36,0,0,2,0,0,2,0,0,0,2,0,9,0,0,1,0,4,8,27,36,0,0,2,0,0,2,9,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
