"ID","Name","LongName","Parent","CLOC","LLOC","LOC","McCC","PDA","PUA"
"L11658","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/com/shockwave/pdfium/R.java","L11657","0","8","18","1","0","2"
"L11668","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/com/squareup/picasso/R.java","L11667","0","4","13","1","0","1"
"L11675","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/com/whatEver/iitnstu/R.java","L11674","0","3466","21406","1","0","19"
"L17613","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/firebase/com/protolitewrapper/R.java","L17612","0","4","13","1","0","1"
"L4006","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/androidx/lifecycle/livedata/core/R.java","L4005","0","4","13","1","0","1"
"L5420","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/com/github/barteksc/pdfviewer/R.java","L5419","0","26","38","1","0","4"
"L5560","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/com/google/android/material/R.java","L5559","0","2491","2514","1","0","15"
"L8041","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/com/google/firebase/auth/R.java","L8040","0","4","13","1","0","1"
"L8058","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/com/google/firebase/firestore/R.java","L8057","0","238","258","1","0","12"
"L8439","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/com/google/firebase/storage/R.java","L8438","0","238","258","1","0","12"
"L5450","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/com/google/android/gms/base/R.java","L5449","0","94","109","1","0","7"
"L5539","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/com/google/android/gms/common/R.java","L5538","0","12","23","1","0","3"
"L5550","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/com/google/android/gms/flags/R.java","L5549","0","4","13","1","0","1"
"L5555","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/com/google/android/gms/tasks/R.java","L5554","0","4","13","1","0","1"
"L8044","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/com/google/firebase/auth/internal/R.java","L8043","0","4","13","1","0","1"
"L8053","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/com/google/firebase/database/collection/R.java","L8052","0","4","13","1","0","1"
"L11682","BuildConfig.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/source/buildConfig/debug/com/whatEver/iitnstu/BuildConfig.java","L11681","0","9","14","1","0","1"
"L11689","AuthenticationActivityTest.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/src/androidTest/java/com/whatEver/iitnstu/AuthenticationActivityTest.java","L11688","0","79","95","3","0","2"
"L11690","ExampleInstrumentedTest.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/src/androidTest/java/com/whatEver/iitnstu/ExampleInstrumentedTest.java","L11688","0","15","29","1","1","1"
"L11696","AllCourseDetailsActivity.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/src/main/java/com/whatEver/iitnstu/AllCourseDetailsActivity.java","L11695","0","29","48","1","1","0"
"L11697","AuthenticationActivity.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/src/main/java/com/whatEver/iitnstu/AuthenticationActivity.java","L11695","0","64","87","1","1","0"
"L11698","CourseCoordinatorActivity.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/src/main/java/com/whatEver/iitnstu/CourseCoordinatorActivity.java","L11695","0","46","69","1","1","0"
"L11699","DevelopersActivity.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/src/main/java/com/whatEver/iitnstu/DevelopersActivity.java","L11695","0","15","27","1","1","0"
"L11700","DirectorProfileActivity.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/src/main/java/com/whatEver/iitnstu/DirectorProfileActivity.java","L11695","0","46","70","1","1","0"
